state,city,zip,area_codes,latitude,longitude
NJ,Irvington,7111,973,40.72,-74.23
CA,Placentia,92870,"714,626,323",33.88,-117.85
OK,Oklahoma City,73160,405,35.46,-97.51
NJ,Perth Amboy,8861,732,40.52,-74.27
IL,Chicago,60609,"773,312",41.83,-87.68
FL,Orlando,32837,"407,321",28.5,-81.37
NJ,Sicklerville,8081,856,39.73,-74.98
NY,Lockport,14094,"716,585",43.16,-78.69
FL,Clermont,34711,"352,407,863",28.55,-81.75
FL,Lake Worth,33467,561,26.61,-80.05
NY,Brooklyn,11233,718,40.64,-73.94
CA,Los Angeles,90004,"213,818,323,310",34.07,-118.31
CA,Granada Hills,91344,818,34.29,-118.5
CA,Murrieta,92563,"909,951",33.57,-117.14
AL,Birmingham,35242,205,33.52,-86.79
CA,Roseville,95747,916,38.78,-121.37
MD,Fort Washington,20744,"301,240",38.73,-77
CO,Broomfield,80020,"303,720",39.94,-105.06
NY,Newburgh,12550,"845,914",41.5,-74.02
GA,Newnan,30263,"770,678",33.37,-84.78
CA,Diamond Bar,91765,"909,310,949",33.99,-117.81
DE,Newark,19702,302,39.67,-75.75
PA,West Chester,19382,"610,484",39.95,-75.6
IL,Aurora,60506,630,41.76,-88.29
OR,Oregon City,97045,503,45.32,-122.52
HI,Honolulu,96816,808,21.3,-157.85
CA,Alhambra,91801,"626,213,323",34.09,-118.13
AZ,Tucson,85710,520,32.22,-110.82
OH,Chillicothe,45601,740,39.33,-82.98
CA,North Hills,91343,818,34.23,-118.47
MO,O Fallon,63366,"636,314",38.78,-90.7
VA,Stafford,22554,"540,703,202",38.42,-77.4
FL,Brandon,33511,813,27.92,-82.29
CA,National City,91950,"619,858",32.67,-117.09
CA,Cypress,90630,"562,714",33.81,-118.03
NC,Charlotte,28215,704,35.19,-80.83
NJ,Monroe Township,8831,"609,732",40.34,-74.44
TX,San Antonio,78247,"210,972",29.45,-98.5
VA,Hampton,23666,757,37.04,-76.29
FL,Miami,33176,"305,786",25.77,-80.2
TX,Plano,75093,"972,469,817,214",33.04,-96.74
MN,Lakeville,55044,"952,612",44.67,-93.24
MI,Grand Blanc,48439,810,42.92,-83.61
CA,San Jose,95125,"408,831",37.29,-121.88
IN,Greenwood,46143,317,39.61,-86.11
PA,Irwin,15642,"724,412",40.32,-79.69
CA,Indio,92201,760,33.71,-116.23
PA,Coatesville,19320,"610,484",39.98,-75.81
CA,Highland,92346,909,34.13,-117.15
CA,Mission Viejo,92692,"949,310,714",33.6,-117.64
NJ,Marlton,8053,"609,856",39.9,-74.92
CA,Bakersfield,93309,"661,805,408",35.34,-119.07
NY,New York,10031,"646,212,917",40.71,-73.99
CA,San Diego,92117,"619,858",32.81,-117.19
FL,Orlando,32822,"407,321",28.5,-81.37
MA,Methuen,1844,"781,978",42.71,-71.18
CA,Sacramento,95828,916,38.48,-121.4
NC,Greensboro,27406,336,36.07,-79.82
NM,Rio Rancho,87124,505,35.27,-106.66
CA,Colton,92324,"909,714",34.01,-117.27
CA,Encinitas,92024,"619,760,858,650",33.05,-117.25
FL,Lake Worth,33463,"407,561,954",26.61,-80.05
TX,Mcallen,78501,956,26.21,-98.23
NY,Flushing,11354,"917,718,347",40.77,-73.84
NY,New York,10016,"212,646,917,914,718",40.71,-73.99
CA,Rancho Cordova,95670,"916,650",38.6,-121.26
AZ,Peoria,85345,"623,602",33.57,-112.25
CA,San Diego,92130,"858,619",32.95,-117.19
VA,Fairfax,22030,"703,571",38.85,-77.29
GA,Augusta,30907,706,33.45,-81.99
IL,Barrington,60010,"847,630,312,224",42.15,-88.12
VA,Herndon,20171,"703,571,202",38.96,-77.38
TX,Dallas,75243,"214,972,469",32.79,-96.76
GA,Warner Robins,31088,478,32.61,-83.63
CA,San Pedro,90731,"310,562,424",33.73,-118.29
TX,Round Rock,78681,512,30.51,-97.67
CA,San Diego,92128,"619,858",32.99,-117.07
MN,Andover,55304,"763,612",45.25,-93.33
TX,Houston,77077,"281,713,832,512",29.76,-95.38
CA,Mission Viejo,92691,"949,714",33.6,-117.66
FL,Pompano Beach,33063,"954,754",26.23,-80.13
KY,Florence,41042,859,38.99,-84.64
FL,Pompano Beach,33065,"954,754",26.23,-80.13
IL,Chicago,60643,"312,773,847",41.83,-87.68
ID,Boise,83709,208,43.54,-116.29
TX,Weslaco,78596,956,26.16,-97.98
NV,Las Vegas,89115,702,36.23,-115.05
TN,Smyrna,37167,"615,931",35.98,-86.51
CA,Poway,92064,"858,619,760",32.97,-117.02
CA,Garden Grove,92840,714,33.78,-117.93
VA,Midlothian,23112,804,37.5,-77.63
PA,Washington,15301,724,40.17,-80.24
OH,Lakewood,44107,216,41.48,-81.8
TX,Friendswood,77546,"713,281,832",29.51,-95.19
SC,Simpsonville,29681,864,34.73,-82.25
OH,Middletown,45044,"513,937",39.5,-84.37
HI,Kailua,96734,808,21.4,-157.73
AZ,Glendale,85301,"623,602",33.53,-112.18
MO,Florissant,63031,314,38.79,-90.32
FL,Middleburg,32068,904,30.05,-81.9
FL,Miami,33161,"305,954,786",25.77,-80.2
CA,Livermore,94550,"925,408,510,415,619",37.68,-121.75
TX,Houston,77072,"713,281,832",29.76,-95.38
HI,Honolulu,96818,808,21.3,-157.85
NY,Hempstead,11550,"516,631,212,718",40.7,-73.61
MD,Baltimore,21215,"410,443",39.3,-76.61
TN,Franklin,37064,615,35.92,-86.84
NJ,Bloomfield,7003,"973,908,862",40.81,-74.18
CA,San Ramon,94583,"925,510,415,707",37.78,-121.99
IL,Elgin,60123,"847,708,224,630",42.03,-88.28
NM,Albuquerque,87105,505,35.11,-106.62
GA,Lithonia,30058,"404,678,770",33.71,-84.1
TX,Houston,77036,"713,281,832",29.76,-95.38
UT,Salt Lake City,84119,801,40.7,-111.94
WI,Madison,53711,608,43.07,-89.38
CT,Wallingford,6492,203,41.44,-72.81
PA,Lancaster,17602,717,40.04,-76.3
FL,Ormond Beach,32174,"386,407",29.28,-81.06
CA,North Hollywood,91605,"818,323",34.2,-118.39
NJ,Edison,8817,"732,848,908",40.52,-74.36
CA,Palmdale,93551,"661,323,805",34.61,-118.27
TN,Murfreesboro,37129,615,35.85,-86.39
GA,Stone Mountain,30083,"404,678,770",33.8,-84.17
TN,Mount Juliet,37122,615,36.2,-86.52
IL,Elmhurst,60126,"630,773,708",41.89,-87.94
CA,El Cajon,92020,619,32.79,-116.96
CA,Ventura,93003,"661,805",34.28,-119.22
UT,South Jordan,84095,801,40.55,-111.96
CA,Fullerton,92833,"714,310,562",33.88,-117.96
MO,Saint Charles,63303,"314,636",38.79,-90.51
MA,Taunton,2780,508,41.9,-71.09
NJ,Englishtown,7726,"732,848,908",40.29,-74.36
CO,Fort Collins,80525,970,40.55,-105.06
NC,Charlotte,28227,704,35.19,-80.83
KY,Frankfort,40601,502,38.19,-84.86
UT,Salt Lake City,84120,801,40.69,-111.99
NC,Hickory,28601,828,35.73,-81.32
GA,Mcdonough,30253,"678,770",33.45,-84.14
NY,Bronx,10460,718,40.84,-73.87
NY,Lindenhurst,11757,"516,631",40.68,-73.37
IL,Buffalo Grove,60089,"847,708,312,630",42.16,-87.96
AZ,Scottsdale,85254,"480,602",33.61,-111.94
TN,Jackson,38305,731,35.63,-88.82
LA,Kenner,70065,504,29.99,-90.24
CA,Yucaipa,92399,909,34.04,-117.01
CA,Aliso Viejo,92656,"949,714",33.57,-117.72
CA,Escondido,92027,"858,760,619",33.13,-116.98
IL,Joliet,60435,815,41.52,-88.12
CA,Yorba Linda,92886,714,33.89,-117.78
PA,Philadelphia,19149,215,39.95,-75.16
CO,Littleton,80127,"303,720",39.57,-105.14
TX,The Colony,75056,"214,972,469",33.09,-96.88
SC,Lexington,29072,803,33.98,-81.22
SC,Summerville,29485,843,33,-80.17
MI,Westland,48185,"313,734,586",42.31,-83.38
WA,Seattle,98115,"206,425",47.68,-122.28
OH,Marion,43302,"614,740,419",40.58,-83.12
TX,Wylie,75098,"214,972",33.04,-96.51
CA,San Jose,95124,"408,650",37.25,-121.92
SC,Columbia,29223,803,34,-81.03
NV,Las Vegas,89129,702,36.23,-115.29
WA,Spokane,99208,509,47.78,-117.45
NJ,Jersey City,7306,201,40.71,-74.06
MD,Silver Spring,20902,"301,240,410",39.01,-77.02
NJ,West Orange,7052,973,40.79,-74.26
MD,Catonsville,21228,"410,443,202,301",39.26,-76.74
NY,Spring Valley,10977,"845,914,917",41.11,-74.04
MN,Anoka,55303,"763,612",45.21,-93.39
NC,Monroe,28110,"704,980",34.98,-80.54
OH,Columbus,43228,614,39.98,-82.98
PA,Pottstown,19464,"484,610",40.25,-75.64
PA,Allentown,18103,"610,484,215",40.59,-75.47
NY,Jamaica,11435,"718,917,347",40.68,-73.78
SC,Rock Hill,29730,803,34.93,-81.02
TX,Carrollton,75006,"214,972,469,830",32.98,-96.89
MA,Revere,2151,"781,978,339,617",42.41,-70.99
TX,Dallas,75227,"214,972,940",32.79,-96.76
IL,Moline,61265,309,41.48,-90.48
WA,Federal Way,98023,253,47.3,-122.37
TX,Plano,75023,"214,972,281,469",33.04,-96.74
TX,Houston,77015,"281,713,832",29.76,-95.38
IL,Lake Zurich,60047,"847,312,224",42.19,-88.08
HI,Honolulu,96819,808,21.3,-157.85
TX,Fort Worth,76133,817,32.75,-97.33
MD,Baltimore,21206,"410,443",39.3,-76.61
NY,New York,10011,"646,718,917,212,516,000,000",40.71,-73.99
CA,San Francisco,94109,"415,510,650",37.79,-122.42
AZ,Phoenix,85041,602,33.38,-112.11
CA,Lincoln,95648,916,38.93,-121.25
TX,Richmond,77469,"281,832,713",29.58,-95.76
MO,Fenton,63026,"314,636",38.53,-90.45
OH,Massillon,44646,330,40.78,-81.52
CA,Martinez,94553,"510,925",37.98,-122.15
NV,Henderson,89052,702,35.98,-115.11
MT,Billings,59102,406,45.76,-108.57
MN,Saint Paul,55125,"651,612,763",44.94,-93.1
CA,Paramount,90723,"562,714,323,213",33.89,-118.16
GA,Dalton,30721,706,34.76,-84.97
GA,Atlanta,30331,"770,404",33.71,-84.53
FL,Pompano Beach,33068,954,26.23,-80.13
OH,Cincinnati,45238,513,39.09,-84.51
OH,Delaware,43015,"614,740",40.29,-83.08
MI,Roseville,48066,"586,810,248",42.5,-82.93
NV,Henderson,89074,702,36.03,-115.07
VA,Virginia Beach,23455,757,36.73,-76.04
FL,Pompano Beach,33064,"954,305,561,754",26.23,-80.13
NY,Levittown,11756,"631,516,917",40.72,-73.51
CO,Littleton,80123,"303,720",39.59,-105.01
TX,Grapevine,76051,"817,972,469",32.93,-97.07
NJ,Mount Laurel,8054,"609,856",39.94,-74.9
TX,Fort Worth,76179,"817,682",32.75,-97.33
NC,Jacksonville,28540,910,34.76,-77.4
VA,Burke,22015,703,38.78,-77.27
VA,Arlington,22204,703,38.87,-77.1
MS,Olive Branch,38654,"662,901",34.95,-89.82
GA,Covington,30016,"770,678",33.6,-83.85
CA,Ontario,91764,"909,951",34.07,-117.62
NY,Westbury,11590,"516,631,718",40.75,-73.58
NY,North Tonawanda,14120,716,43.04,-78.86
NJ,Princeton,8540,"201,609,732,908",40.35,-74.65
TX,Houston,77089,"281,713,832",29.76,-95.38
MN,Burnsville,55337,"952,612,651",44.76,-93.27
FL,Jacksonville,32246,904,30.33,-81.65
NV,Las Vegas,89147,702,36.11,-115.27
NC,Concord,28025,704,35.4,-80.59
IL,Carol Stream,60188,630,41.91,-88.13
OH,Brunswick,44212,330,41.24,-81.82
FL,Hialeah,33018,"305,786",25.86,-80.29
NC,Raleigh,27613,919,35.82,-78.65
WI,Beloit,53511,608,42.52,-89.02
SD,Sioux Falls,57106,605,43.54,-96.73
TX,San Antonio,78240,210,29.45,-98.5
CA,Tracy,95376,"209,510",37.73,-121.42
GA,Kennesaw,30144,"678,770",34.02,-84.61
MO,Springfield,65807,417,37.19,-93.28
AZ,Gilbert,85234,"480,602",33.36,-111.75
FL,Sanford,32771,407,28.78,-81.27
FL,Fort Lauderdale,33312,954,26.14,-80.13
TX,Cypress,77433,"281,832",29.96,-95.69
TX,Frisco,75035,"469,972,214",33.14,-96.81
NY,New York,10027,"646,917,212",40.71,-73.99
CA,Newbury Park,91320,805,34.17,-118.95
KS,Wichita,67212,316,37.68,-97.34
IL,Bartlett,60103,630,41.97,-88.2
ID,Twin Falls,83301,208,42.41,-114.59
MO,Saint Charles,63301,"636,314",38.79,-90.51
IL,Naperville,60565,630,41.76,-88.15
CA,Victorville,92392,760,34.49,-117.36
TN,Memphis,38109,901,35.1,-90
CA,La Mirada,90638,"562,714,626,310",33.9,-118
CA,Wilmington,90744,"310,323,562",33.77,-118.26
CA,Los Angeles,90037,"323,213,818,310",34,-118.28
KY,Richmond,40475,859,37.74,-84.29
OR,Eugene,97402,541,44.04,-123.22
WA,Marysville,98270,"360,425",48.05,-122.14
NC,Durham,27713,919,35.98,-78.91
GA,Marietta,30064,"678,404,770",33.95,-84.54
IN,New Albany,47150,812,38.3,-85.82
OH,Fairfield,45014,513,39.33,-84.54
NY,Huntington,11743,"516,631",40.87,-73.4
WA,Seattle,98103,"206,425",47.67,-122.34
MI,Holland,49424,616,42.77,-86.1
VA,Suffolk,23434,757,36.7,-76.63
TX,Houston,77088,"281,713,832",29.76,-95.38
NV,North Las Vegas,89030,702,36.21,-115.12
TX,San Antonio,78251,210,29.45,-98.5
CA,San Francisco,94116,415,37.74,-122.48
WA,Kent,98042,"253,425,206,360",47.36,-122.1
CA,Riverside,92504,"909,619,951",33.9,-117.4
CA,Sunnyvale,94086,"408,650,510",37.36,-122.02
NC,High Point,27265,336,35.98,-79.99
NJ,Egg Harbor Township,8234,"609,856",39.41,-74.58
NY,Fairport,14450,"585,716",43.1,-77.44
DE,Newark,19711,302,39.67,-75.75
WI,Madison,53704,608,43.07,-89.38
PA,Norristown,19403,"484,610",40.12,-75.33
CA,San Ysidro,92173,"619,858",32.55,-117.04
FL,Hialeah,33016,"786,954,305",25.86,-80.29
CA,San Jose,95148,408,37.33,-121.77
IL,Naperville,60540,630,41.76,-88.15
IL,Northbrook,60062,"630,847,708,224,312",42.12,-87.83
TX,Arlington,76017,"817,972",32.69,-97.12
TX,Irving,75061,"214,469,972",32.85,-96.96
AL,Montgomery,36117,334,32.35,-86.28
CA,Rowland Heights,91748,"626,562,213,909,323",33.97,-117.9
TX,Dallas,75287,"972,469,214",32.79,-96.76
CA,San Leandro,94577,"510,925,858,949",37.71,-122.16
PA,Lititz,17543,717,40.15,-76.3
TX,Flower Mound,75028,"972,214,469,817",33.02,-97.09
CA,Costa Mesa,92626,"562,714,949,626,213,000,000",33.67,-117.9
CA,Walnut,91789,"626,909,213,310,415,000",34.01,-117.85
NY,Clifton Park,12065,518,42.85,-73.8
NJ,Clementon,8021,"856,609",39.8,-74.98
LA,Denham Springs,70726,225,30.47,-90.95
PA,Warminster,18974,"215,267",40.21,-75.07
CA,Pleasanton,94566,925,37.65,-121.85
NY,Brooklyn,11201,"718,917,347,212",40.64,-73.94
CO,Denver,80229,"303,720",39.76,-104.87
NJ,Brick,8724,732,40.06,-74.11
PA,Pittsburgh,15237,"412,724",40.43,-79.97
NJ,Hoboken,7030,"201,732",40.74,-74.02
FL,The Villages,32162,352,28.92,-81.92
CA,Escondido,92026,"760,619",33.22,-117.1
NC,Raleigh,27615,919,35.82,-78.65
WI,Neenah,54956,920,44.16,-88.47
TX,Desoto,75115,"214,469,972,817",32.58,-96.86
GA,Canton,30114,"678,770",34.24,-84.49
OR,Hillsboro,97124,"503,971",45.58,-122.91
KY,Elizabethtown,42701,270,37.7,-85.87
GA,Smyrna,30080,"404,678,770",33.86,-84.51
HI,Hilo,96720,808,19.69,-155.08
CA,Van Nuys,91406,"626,805,818,323,310",34.19,-118.49
FL,Fort Lauderdale,33321,954,26.14,-80.13
CA,Canoga Park,91304,818,34.22,-118.59
MD,Rockville,20850,"240,301,410,202",39.08,-77.15
NY,Brooklyn,11238,"718,347,917",40.64,-73.94
FL,Jupiter,33458,"561,305",26.92,-80.1
NY,Ithaca,14850,607,42.44,-76.5
VA,Leesburg,20176,"703,540,571",39.1,-77.55
CA,San Bernardino,92407,"909,760",34.22,-117.37
FL,Hollywood,33029,954,26.02,-80.16
NY,Hamburg,14075,"716,718",42.72,-78.83
CA,San Bernardino,92404,909,34.17,-117.24
OK,Lawton,73505,580,34.6,-98.42
OR,Portland,97223,503,45.44,-122.76
MO,Chesterfield,63017,"314,636",38.65,-90.58
CA,Daly City,94014,"415,650,510",37.68,-122.43
OH,Columbus,43229,"614,740",39.98,-82.98
CA,Huntington Beach,92648,"714,760,949,562",33.67,-118
IL,Chicago,60613,"773,312",41.83,-87.68
CA,Upland,91786,"909,213,626",34.1,-117.66
NY,New Hyde Park,11040,"516,917,718",40.73,-73.68
IL,Plainfield,60586,815,41.61,-88.2
DC,Washington,20019,202,38.89,-77.03
CO,Colorado Springs,80918,719,38.86,-104.76
WA,Longview,98632,360,46.19,-123.05
GA,Savannah,31419,"912,404",32.08,-81.1
PA,Allentown,18102,"610,484",40.59,-75.47
MI,Trenton,48183,"734,313",42.13,-83.22
IN,Carmel,46032,317,39.96,-86.1
CA,Buena Park,90620,"714,626,949,562",33.84,-118
CA,Torrance,90503,"310,949,323,626",33.84,-118.35
CA,Lompoc,93436,805,34.6,-120.39
CO,Denver,80233,"720,303",39.76,-104.87
NY,Middletown,10940,"845,914",41.44,-74.42
MD,Gwynn Oak,21207,"410,443",39.32,-76.72
IN,Jeffersonville,47130,812,38.3,-85.72
NY,Endicott,13760,"607,585",42.09,-76.05
CO,Loveland,80538,"970,303",40.41,-105.07
CA,Fresno,93720,"209,559",36.88,-119.77
TN,Chattanooga,37421,423,35.06,-85.25
FL,Hollywood,33021,"954,305,561,754",26.02,-80.16
WI,Appleton,54915,920,44.26,-88.39
CA,Rancho Santa Margarita,92688,"949,714",33.61,-117.61
NY,New York,10003,"212,646,917,347,718",40.71,-73.99
NY,New York,10028,"212,917,646",40.71,-73.99
PA,Southampton,18966,"215,267",40.18,-75
MO,Saint Charles,63304,"314,636",38.79,-90.51
FL,Miami,33193,"786,305",25.77,-80.2
WI,Fond Du Lac,54935,920,43.77,-88.44
MI,Plymouth,48170,"248,313,734",42.37,-83.46
SC,Mount Pleasant,29464,843,32.82,-79.86
MN,Saint Paul,55106,"651,612",44.94,-93.1
NV,Las Vegas,89103,702,36.11,-115.21
WA,Bonney Lake,98391,,47.18,-122.16
TX,Houston,77064,"281,713,832,972",29.76,-95.38
MT,Kalispell,59901,406,48.19,-114.38
MO,Saint Louis,63136,314,38.63,-90.24
TX,Baytown,77521,"281,832,713",29.74,-94.96
CA,Visalia,93277,559,36.29,-119.38
CA,Moreno Valley,92557,951,33.97,-117.25
TX,Houston,77082,"281,832,713",29.76,-95.38
TX,San Antonio,78223,210,29.45,-98.5
IN,La Porte,46350,219,41.6,-86.71
WA,Renton,98058,"425,253,206",47.43,-122.11
SC,Columbia,29229,803,34,-81.03
IL,Tinley Park,60477,"708,815",41.57,-87.8
ND,Fargo,58103,701,46.87,-96.81
CA,Los Angeles,90047,"323,213,562",33.95,-118.3
FL,Miami,33147,"305,786",25.77,-80.2
DC,Washington,20002,202,38.89,-77.03
FL,Miami,33126,"305,786",25.77,-80.29
CA,Clovis,93611,"209,559",36.93,-119.56
FL,Miami,33142,"305,786,954",25.77,-80.2
CA,San Diego,92115,619,32.75,-117.07
NC,Morganton,28655,"704,828",35.74,-81.69
CA,Los Angeles,90001,"213,310,323,562",33.97,-118.24
IL,Glenview,60025,"312,847",42.07,-87.81
CT,Middletown,6457,"203,860",41.54,-72.65
CA,Campbell,95008,408,37.28,-121.95
MA,Attleboro,2703,"401,508,617,774",41.93,-71.29
NY,Scarsdale,10583,914,40.98,-73.77
TX,Houston,77070,"281,832,713",29.76,-95.38
VA,Alexandria,22304,"202,703",38.82,-77.08
CA,Santa Ana,92705,"714,213,949,619,310",33.76,-117.79
AL,Madison,35758,256,34.7,-86.74
FL,Opa Locka,33055,"305,954",25.93,-80.26
NY,Troy,12180,"518,212",42.73,-73.67
NY,Buffalo,14224,716,42.88,-78.85
IL,Orland Park,60462,708,41.61,-87.85
VA,Newport News,23608,"757,301",37.07,-76.51
IL,Palatine,60067,"847,224",42.11,-88.04
PA,Allentown,18104,"484,610",40.59,-75.47
IL,Naperville,60564,630,41.76,-88.15
OR,Eugene,97405,541,43.92,-123.08
CA,Modesto,95350,"209,559",37.67,-121.01
CA,Compton,90221,"213,310,323,424",33.87,-118.21
MA,Pittsfield,1201,413,42.45,-73.26
FL,Winter Springs,32708,407,28.68,-81.27
CA,Hollister,95023,"408,831",36.89,-121.24
AZ,Surprise,85374,"623,602",33.64,-112.38
CA,Gardena,90247,"323,310,949,213,562",33.89,-118.29
IN,Richmond,47374,"765,317",39.82,-84.88
CA,Santa Ana,92701,"714,949,562",33.75,-117.85
CA,Rancho Palos Verdes,90275,310,33.75,-118.31
OR,Portland,97206,503,45.48,-122.6
OK,Tulsa,74133,918,36.12,-95.91
IL,Bloomington,61704,309,40.47,-88.97
MI,Howell,48843,"517,586,989,248,734,000",42.6,-83.93
NC,Greensboro,27407,336,36.07,-79.82
NY,Freeport,11520,"516,917,631",40.65,-73.58
FL,Fort Lauderdale,33319,"954,561",26.14,-80.13
NY,Poughkeepsie,12603,"845,914",41.69,-73.92
VA,Williamsburg,23185,"757,202",37.27,-76.7
AL,Mobile,36695,251,30.68,-88.04
PA,Philadelphia,19134,215,39.95,-75.16
HI,Aiea,96701,808,21.38,-157.92
CT,Danbury,6810,203,41.4,-73.47
CA,Los Angeles,90063,"323,213",34.04,-118.18
NJ,Edison,8820,"732,908",40.52,-74.36
IL,Granite City,62040,618,38.71,-90.12
NY,Elmont,11003,"516,917,718",40.7,-73.7
MN,Saint Paul,55112,"612,651,763",44.94,-93.1
AZ,Phoenix,85008,"623,602",33.46,-111.98
CA,Fallbrook,92028,"760,619",33.39,-117.29
NY,Patchogue,11772,"631,917,516",40.76,-73.01
CT,Shelton,6484,"203,860",41.3,-73.13
CT,Enfield,6082,860,41.96,-72.56
NJ,Vineland,8360,856,39.46,-74.99
UT,West Jordan,84084,801,40.62,-111.98
CA,Newark,94560,"510,707,408",37.51,-122.04
FL,Miami,33162,"305,786",25.77,-80.2
IL,Pekin,61554,309,40.56,-89.62
MI,Clinton Township,48038,"586,810,248",42.58,-82.91
MD,Upper Marlboro,20774,"202,240,301,410",38.81,-76.75
TX,Harlingen,78550,956,26.19,-97.68
TX,Amarillo,79109,806,35.2,-101.81
NC,Winston Salem,27107,"336,704",36.1,-80.24
NY,Hicksville,11801,516,40.76,-73.52
CA,Morgan Hill,95037,408,37.17,-121.65
NC,Charlotte,28216,704,35.19,-80.83
UT,Bountiful,84010,801,40.88,-111.82
TX,Houston,77040,"713,979,281,832",29.76,-95.38
VA,Centreville,20120,"703,571,202",38.84,-77.44
IL,Schaumburg,60193,"847,630,224,312,708",42.03,-88.08
TX,Sugar Land,77478,"281,832,713",29.61,-95.61
NY,Bronx,10461,"718,212,347",40.84,-73.87
FL,Miami,33155,"305,786",25.77,-80.2
GA,Jonesboro,30236,"678,770,404",33.52,-84.35
NY,Tonawanda,14150,716,43,-78.87
AR,Jonesboro,72401,870,35.82,-90.68
WI,Sheboygan,53081,920,43.7,-87.74
AL,Birmingham,35215,205,33.52,-86.79
NY,Far Rockaway,11691,718,40.59,-73.81
TX,College Station,77845,"979,936",30.6,-96.31
MO,Florissant,63033,314,38.79,-90.32
FL,Tampa,33614,813,27.95,-82.48
CA,San Jose,95116,408,37.35,-121.85
CA,Castro Valley,94546,"510,925",37.7,-122.08
TX,Irving,75060,"469,972,214,817",32.85,-96.96
OR,Medford,97504,541,42.33,-122.79
AZ,Phoenix,85033,"623,602",33.49,-112.21
OR,Hillsboro,97123,503,45.44,-122.96
CA,La Mesa,91941,"619,858",32.75,-116.99
KY,Bowling Green,42101,"270,502",36.97,-86.44
MI,Holland,49423,616,42.77,-86.1
NJ,Newark,7104,973,40.72,-74.17
TX,San Marcos,78666,512,29.88,-97.92
WA,Spanaway,98387,"206,253",47.05,-122.36
DC,Washington,20009,202,38.89,-77.03
WA,Seattle,98118,206,47.54,-122.27
NY,Rego Park,11374,"917,718,347",40.72,-73.86
NC,Waxhaw,28173,704,34.92,-80.74
CA,Burlingame,94010,"415,650",37.56,-122.37
NY,South Richmond Hill,11419,"917,718,347",40.68,-73.82
MI,Sterling Heights,48310,586,42.58,-83.03
TX,Laredo,78041,956,27.53,-99.48
NJ,Linden,7036,"908,732",40.62,-74.23
NC,Cary,27513,919,35.78,-78.79
CA,San Bruno,94066,"650,415,408",37.62,-122.43
IL,Elmwood Park,60707,"708,773,312",41.92,-87.81
TX,Arlington,76010,"817,214,682,972",32.69,-97.12
OH,Wooster,44691,"330,419,234",40.81,-81.93
MO,O Fallon,63368,636,38.78,-90.7
KY,Louisville,40214,502,38.22,-85.74
MI,Livonia,48154,"734,313",42.39,-83.37
TX,El Paso,79938,915,31.84,-106.43
CA,San Jose,95136,408,37.27,-121.84
AZ,Tucson,85705,520,32.26,-111
CA,Riverside,92506,"909,951",33.92,-117.36
CA,Sun Valley,91352,"661,818,310,323,626",34.23,-118.34
NM,Albuquerque,87112,505,35.11,-106.62
FL,Deltona,32725,"321,386,407",28.9,-81.2
CA,Thousand Oaks,91360,805,34.21,-118.88
NJ,Howell,7731,732,40.14,-74.19
FL,Apopka,32703,"407,352",28.68,-81.51
TX,Dallas,75216,"972,214,469",32.79,-96.76
CA,Santa Maria,93458,805,34.95,-120.5
